journal,lower_quartile,median,upper_quartile,count
20 century British history,10,10,10,1
AANA journal,8,9,13,19
AAOHN journal : official journal of the American Association of Occupational Health Nurses,7,11,13,22
AIDS alert,7,8,9,14
AIDS clinical care,6,7,14,3
AIDS education and prevention : official publication of the International Society for AIDS Education,13,15,18,27
AIDS policy & law,6,7,8,35
AIDS research and human retroviruses,12,14,18,105
AIDS reviews,10,10,10,1
AIDS treatment news,6,7,10,15
AJR. American journal of roentgenology,10,12,14,303
"APMIS : acta pathologica, microbiologica, et immunologica Scandinavica",11,14,17,60
Academic medicine : journal of the Association of American Medical Colleges,7,10,13,92
Acta Universitatis Carolinae. Medica. Monographia,9,9,12,2
Acta anaesthesiologica Belgica,9,11,14,19
Acta anaesthesiologica Scandinavica,11,14,16,139
Acta bio-medica : Atenei Parmensis,8,10,11,5
Acta biologica Hungarica,6,10,14,26
Acta biotheoretica,4,6,11,9
Acta cardiologica,11,13,15,28
Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca,8,9,10,16
Acta chirurgiae plasticae,6,11,12,21
Acta chirurgica Belgica,8,10,13,50
Acta chirurgica Iugoslavica,5,8,11,26
Acta clinica Belgica,9,10,13,12
Acta clinica Croatica,6,6,11,8
"Acta crystallographica. Section C, Crystal structure communications",4,6,8,43
"Acta crystallographica. Section F, Structural biology and crystallization communications",5,7,9,68
Acta cytologica,8,11,13,109
Acta gastro-enterologica Belgica,8,11,17,11
Acta haematologica,11,13,16,62
Acta leprologica,7,10,12,7
Acta medica Okayama,9,12,14,33
Acta microbiologica Polonica,7,7,8,16
Acta microbiologica et immunologica Hungarica,6,9,12,9
Acta myologica : myopathies and cardiomyopathies : official journal of the Mediterranean Society of Myology / edited by the Gaetano Conte Academy for the study of striated muscle diseases,9,9,9,4
Acta neurochirurgica. Supplement,10,13,16,43
Acta neurologica Belgica,9,12,14,21
Acta neurologica Taiwanica,8,10,11,8
Acta obstetricia et gynecologica Scandinavica,11,13,15,119
"Acta oncologica (Stockholm, Sweden)",10,13,16,58
Acta ophthalmologica,11,13,16,73
Acta ophthalmologica Scandinavica,11,14,16,29
Acta orthopaedica,12,15,16,24
Acta orthopaedica Belgica,7,10,13,59
Acta orthopaedica. Supplementum,23,23,23,1
Acta oto-laryngologica. Supplementum,10,12,14,57
Acta paediatrica Taiwanica = Taiwan er ke yi xue hui za zhi,7,9,12,14
Acta pharmaceutica Hungarica,4,5,10,10
Acta physiologica Hungarica,10,13,15,25
Acta poloniae pharmaceutica,6,9,13,39
"Acta radiologica (Stockholm, Sweden : 1987)",10,12,16,78
Acta veterinaria Scandinavica,8,10,13,29
Acupuncture & electro-therapeutics research,8,11,12,9
Adapted physical activity quarterly : APAQ,14,14,14,2
Adolescence,10,12,15,45
Adolescent medicine: state of the art reviews,6,6,6,1
Advance data,4,14,20,3
Advanced healthcare materials,8,9,11,8
Advances in cardiology,8,11,14,3
Advances in child development and behavior,14,14,14,1
Advances in chronic kidney disease,11,11,15,4
Advances in clinical and experimental medicine : official organ Wroclaw Medical University,12,13,14,9
Advances in colloid and interface science,7,8,11,6
Advances in experimental medicine and biology,10,12,14,142
Advances in health care management,14,14,14,1
Advances in health economics and health services research,10,15,16,3
Advances in medical sciences,10,11,13,10
Advances in peritoneal dialysis. Conference on Peritoneal Dialysis,10,12,14,33
Advances in surgery,8,8,8,1
African journal of medicine and medical sciences,11,14,18,41
African journal of reproductive health,11,13,15,19
Aging clinical and experimental research,12,12,13,12
Agricultural and biological chemistry,10,14,17,7
Alaska medicine,9,14,15,5
Alternative medicine review : a journal of clinical therapeutic,9,10,12,3
Alternative therapies in health and medicine,15,17,18,6
Alternatives to laboratory animals : ATLA,6,7,12,16
Ambio,7,9,10,25
Ambix,7,7,7,1
Ambulatory pediatrics : the official journal of the Ambulatory Pediatric Association,8,19,22,7
American annals of the deaf,8,9,12,18
American family physician,6,8,12,38
American heart journal,12,14,16,214
American journal of clinical oncology,12,14,17,68
American journal of clinical pathology,8,11,14,181
American journal of dentistry,10,12,16,38
American journal of disaster medicine,9,10,14,8
American journal of electroneurodiagnostic technology,5,5,8,4
American journal of epidemiology,12,15,17,172
American journal of hematology,10,13,16,114
