word,count,journal,in_that_journal
Humans,61956,The Journal of biological chemistry,1341
Male,37543,The American journal of physiology,447
Female,37301,Cancer,417
Animals,33144,The Journal of biological chemistry,1812
Adult,22688,Cancer,292
Middle Aged,20922,Cancer,345
Aged,14980,Cancer,279
Mice,10940,The Journal of biological chemistry,671
Rats,8500,The Journal of biological chemistry,518
Adolescent,8491,The Journal of clinical endocrinology and metabolism,99
Molecular Sequence Data,7379,The Journal of biological chemistry,905
Time Factors,6176,The Journal of biological chemistry,218
Child,6035,Pediatrics,140
Amino Acid Sequence,5069,The Journal of biological chemistry,757
Base Sequence,5023,The Journal of biological chemistry,520
"Aged, 80 and over",4747,Cancer,92
"Cells, Cultured",4500,The Journal of biological chemistry,249
Kinetics,4348,The Journal of biological chemistry,722
Retrospective Studies,4063,Cancer,81
Cell Line,4037,The Journal of biological chemistry,490
Treatment Outcome,3861,The Annals of thoracic surgery,85
"Child, Preschool",3849,Pediatrics,109
Follow-Up Studies,3479,The Annals of thoracic surgery,93
"RNA, Messenger",3416,The Journal of biological chemistry,270
Prospective Studies,3230,The American journal of cardiology,62
Risk Factors,3200,The American journal of cardiology,62
Mutation,3083,The Journal of biological chemistry,295
Infant,2925,Pediatrics,116
Pregnancy,2837,American journal of obstetrics and gynecology,271
United States,2371,American journal of public health,66
Protein Binding,2365,The Journal of biological chemistry,552
Signal Transduction,2360,The Journal of biological chemistry,301
"Dose-Response Relationship, Drug",2357,The Journal of biological chemistry,143
Liver,2307,The Journal of biological chemistry,127
Binding Sites,2277,The Journal of biological chemistry,414
DNA,2256,The Journal of biological chemistry,219
"Mice, Inbred C57BL",2215,"Journal of immunology (Baltimore, Md. : 1950)",259
Escherichia coli,2184,Journal of bacteriology,305
Prognosis,2165,Cancer,112
Young Adult,2121,Psychiatry research,32
In Vitro Techniques,2121,The American journal of physiology,108
Recombinant Proteins,2060,The Journal of biological chemistry,335
"Infant, Newborn",2021,Pediatrics,112
Polymerase Chain Reaction,1980,Journal of clinical microbiology,118
Sensitivity and Specificity,1969,Journal of clinical microbiology,130
"Cloning, Molecular",1932,The Journal of biological chemistry,224
Immunohistochemistry,1927,Human pathology,58
"Tumor Cells, Cultured",1913,The Journal of biological chemistry,153
"Transcription, Genetic",1888,The Journal of biological chemistry,269
"Models, Molecular",1825,Biochemistry,226
Brain,1822,Journal of neurochemistry,98
Age Factors,1805,Cancer,30
Cattle,1789,The Journal of biological chemistry,169
Rabbits,1783,The Journal of biological chemistry,106
Hydrogen-Ion Concentration,1750,The Journal of biological chemistry,137
"Rats, Sprague-Dawley",1744,The Journal of neuroscience : the official journal of the Society for Neuroscience,111
Calcium,1730,The Journal of biological chemistry,199
Questionnaires,1717,Pediatrics,28
Gene Expression Regulation,1707,The Journal of biological chemistry,196
Phosphorylation,1702,The Journal of biological chemistry,330
Cell Division,1650,The Journal of biological chemistry,84
Reproducibility of Results,1645,Journal of chromatography. A,97
DNA-Binding Proteins,1643,The Journal of biological chemistry,217
Transfection,1632,The Journal of biological chemistry,299
Postoperative Complications,1624,The Annals of thoracic surgery,99
"Tomography, X-Ray Computed",1616,Radiology,113
"Antibodies, Monoclonal",1609,"Journal of immunology (Baltimore, Md. : 1950)",119
"Disease Models, Animal",1575,Investigative ophthalmology & visual science,55
Transcription Factors,1563,The Journal of biological chemistry,181
Apoptosis,1556,The Journal of biological chemistry,90
Protein Conformation,1531,The Journal of biological chemistry,273
Bacterial Proteins,1527,Journal of bacteriology,296
"Models, Biological",1506,The Journal of biological chemistry,153
Cohort Studies,1486,Neurology,43
Cell Differentiation,1481,"Journal of immunology (Baltimore, Md. : 1950)",108
Dogs,1478,The American journal of physiology,108
Breast Neoplasms,1467,Cancer research,104
Molecular Weight,1464,The Journal of biological chemistry,224
Magnetic Resonance Imaging,1459,Radiology,98
"Cell Line, Tumor",1454,Cancer research,111
"Mice, Inbred BALB C",1453,"Journal of immunology (Baltimore, Md. : 1950)",197
T-Lymphocytes,1443,"Journal of immunology (Baltimore, Md. : 1950)",204
Cell Membrane,1435,The Journal of biological chemistry,216
"Promoter Regions, Genetic",1427,The Journal of biological chemistry,208
"Rats, Inbred Strains",1417,The American journal of physiology,148
Gene Expression,1416,The Journal of biological chemistry,67
"Blotting, Western",1410,The Journal of biological chemistry,168
Phenotype,1382,Proceedings of the National Academy of Sciences of the United States of America,62
Case-Control Studies,1336,International journal of cancer. Journal international du cancer,37
Membrane Proteins,1335,The Journal of biological chemistry,154
"Diagnosis, Differential",1322,Deutsche medizinische Wochenschrift (1946),26
Blood Pressure,1318,Hypertension,110
Kidney,1281,The American journal of physiology,91
"Mice, Knockout",1280,"Journal of immunology (Baltimore, Md. : 1950)",173
"Sequence Homology, Amino Acid",1267,The Journal of biological chemistry,242
